お仕事No.,応募数 合計
2203556553,1.3202785960004926
2203515280,2.183430185011371
2203546900,2.6874242550036644
2203545344,2.2749881370610043
2203557987,1.699605863531937
2203511565,2.020913898447532
2203525420,2.3396074314793354
2203494391,1.2610304484835249
2203509988,1.0257918866715026
2203554385,1.5683577790443781
2203554555,2.0601644667953005
2203559938,0.9457831232673648
2203546898,1.8664870948635537
2203537199,1.1925813829949825
2203509659,2.5114806174988358
2203526411,0.9567472423477713
2203558348,1.0788023896929173
2203527442,1.7349278490255415
2203548920,1.3724726090810548
2203539381,1.572280850150599
2203548939,2.1073170349863206
2203514393,2.0294997243143182
2203540200,1.1849999339441646
2203552261,1.3609712594104593
2203523737,2.0428664231117524
2203511772,0.9058481144772892
2203538462,1.7942348743189727
2203545202,2.8246476594529826
2203501746,2.6066847621888964
2203551617,2.2390718636714766
2203554360,1.1623082314167212
2203467767,2.3675264073616344
2203559180,0.739906987676096
2203526166,1.6098109109408107
2203495958,2.352717918729413
2203552588,1.4903705512871068
2203546087,2.1652832299115063
2203557223,1.6017139023784128
2203551388,2.093016586351737
2203553871,1.192972932435672
2203528893,1.1564842603195522
2203532652,1.1285475901255724
2203558645,1.09682136417222
2203517850,1.9508749322651249
2203526826,1.3427742654677801
2203557114,1.0084296669848631
2203559887,1.4021274022279138
2203536595,1.835986243281202
2203555803,0.9702906422399777
2203553962,0.740095580489562
2203508238,1.528792448454636
2203550996,1.9935379708051533
2203558732,0.8821075494763181
2203523111,1.3500699522559998
2203542663,1.131265891626281
2203531347,2.1245488363437848
2203504071,1.7298747528709129
2203548891,1.0084652770197315
2203556983,1.8625265089410488
2203526244,0.9629276570802441
2203505822,1.0453737484370498
2203555760,1.0682372252874712
2203559881,0.977344900973293
2203556204,1.7225802528569587
2203522916,0.8917368473246018
2203540706,1.074805609315811
2203535805,1.2223511862372773
2203550569,1.0421898845216628
2203560065,1.4287426901905615
2203554152,0.8249637921854861
2203558707,1.5125755846142883
2203536025,1.5918587377021953
2203556657,0.727976463739145
2203554919,1.6478944217260996
2203548209,1.0335558439098582
2203559357,1.18977610245866
2203534402,0.7813148793743003
2203549990,0.9836761891405359
2203556312,1.2985558551235274
2203550931,0.9453601751948656
2203506584,1.5036700907947367
2203556533,0.8450322411233594
2203554930,1.7021391727962536
2203550201,1.3400181041297288
2203557199,1.2638969717922104
2203545333,1.023530470089769
2203470445,1.4116042567706955
2203552444,1.3173027453254533
2203547445,0.9378711957061796
2203554851,1.6346009635554675
2203551513,1.041372141322656
2203541013,1.106405235386501
